descriptor,Central_Asia,,,,,,,,,
,,,,,,,,,,
date,20181018,,,,,,,,,
SND2018101809312208,56.405663,30.052717,406.38272,80.45223,0.002655068,0.010771405,0.003965853,0.005576311,0.002219528,0.00823278
SND2018101809312231,56.361584,30.132362,405.40433,81.86936,0.000631823,0.004696595,0.001047433,0.002512501,0.000489879,0.004281495
SND2018101809312232,56.36738,30.123964,392.24872,80.63717,0.001952725,0.009018245,0.002982569,0.004701604,0.001606312,0.00715775
SND2018101809312237,56.395115,30.081379,409.63504,80.241264,0.005802296,0.01692707,0.00818859,0.008607897,0.005053449,0.011753736
SND2018101809312238,56.40039,30.072758,409.28574,80.98843,0.003378878,0.012382463,0.00495943,0.006375129,0.002860537,0.00918816
SND2018101809312271,56.356277,30.152391,405.58234,81.50544,0.0001617,0.002135802,0.000295948,0.00117872,0.000116726,0.002301617
SND2018101809312272,56.362076,30.143995,408.3013,81.32664,0.000275561,0.002906806,0.000485192,0.001584802,0.000204557,0.002934056
SND2018101809312273,56.367817,30.135525,407.42456,81.35951,0.000545058,0.004312116,0.000913336,0.002314619,0.000419346,0.004002932
SND2018101809312274,56.37348,30.127007,400.8635,81.27698,0.001440202,0.00756267,0.002248914,0.003970277,0.001165948,0.006231042
SND2018101809312301,56.351006,30.172422,403.65427,81.72148,6.06E-05,0.001210719,0.000119072,0.00068334,4.15E-05,0.001471823
SND2018101809312302,56.356815,30.16403,403.90714,81.45399,9.08E-05,0.001529629,0.000173253,0.000855393,6.36E-05,0.001769452
SND2018101809312303,56.362568,30.15556,404.78265,81.42656,0.000143517,0.00199346,0.000264954,0.001103167,0.000102955,0.002179914
SND2018101809312304,56.368244,30.147043,405.34656,81.3045,0.000245734,0.002720506,0.000436288,0.001487119,0.000181323,0.0027849
SND2018101809312305,56.37379,30.13857,406.6604,81.38471,0.000473669,0.003975937,0.000801844,0.002141026,0.000361749,0.003755014
SND2018101809312306,56.37926,30.130035,398.21204,81.36787,0.001133561,0.006585003,0.001801125,0.003475984,0.000906252,0.005587349
SND2018101809312331,56.345814,30.19246,401.98044,82.03085,2.61E-05,0.000744637,5.46E-05,0.000428432,1.71E-05,0.001003638
SND2018101809312332,56.351627,30.184065,402.3661,81.88548,3.69E-05,0.000909257,7.52E-05,0.000519033,2.47E-05,0.001174632
SND2018101809312333,56.357388,30.175598,403.22528,81.686386,5.38E-05,0.001130316,0.000106646,0.000639695,3.67E-05,0.001394275
SND2018101809312334,56.363068,30.167084,403.2991,81.56743,8.14E-05,0.001436291,0.000156611,0.000805199,5.67E-05,0.00168384
SND2018101809312335,56.368614,30.158611,404.94928,81.30026,0.000128549,0.001870464,0.000239226,0.001037711,9.17E-05,0.002073258
SND2018101809312336,56.374092,30.150076,407.38608,81.17633,0.000219173,0.002546397,0.000392376,0.001395589,0.000160757,0.002643532
SND2018101809312337,56.379475,30.141502,406.4822,81.20632,0.000416872,0.00369289,0.000712272,0.00199442,0.000316248,0.003542812
SND2018101809312338,56.384773,30.132885,394.3306,81.79699,0.000951127,0.005949688,0.001530631,0.003153245,0.000753436,0.005158212
SND2018101809312371,56.340622,30.212494,403.54697,82.4613,1.22E-05,0.000478817,2.69E-05,0.000280341,7.68E-06,0.000708792
SND2018101809312372,56.34644,30.204102,402.36392,82.26994,1.66E-05,0.000572407,3.58E-05,0.00033278,1.06E-05,0.000815816
SND2018101809312373,56.352203,30.195637,402.57996,82.175285,2.31E-05,0.000693471,4.87E-05,0.000400118,1.51E-05,0.000948909
SND2018101809312374,56.357887,30.187122,402.10574,81.84968,3.30E-05,0.000852212,6.78E-05,0.000487718,2.19E-05,0.001116188
SND2018101809312375,56.36344,30.178652,402.49207,81.69482,4.83E-05,0.001062541,9.66E-05,0.00060281,3.28E-05,0.001327993
SND2018101809312376,56.36892,30.170118,404.38943,81.3161,7.32E-05,0.001351135,0.000141987,0.000759292,5.07E-05,0.001604697
SND2018101809312377,56.37431,30.161547,404.27225,81.199425,0.000116225,0.001764588,0.000217881,0.000981229,8.25E-05,0.001980252
SND2018101809312378,56.37961,30.15293,405.48862,81.113144,0.000197397,0.002396903,0.000356088,0.001316801,0.000143993,0.002520506
SND2018101809312401,56.335403,30.232525,402.06833,83.07403,6.22E-06,0.000324683,1.44E-05,0.000193039,3.78E-06,0.00052195
SND2018101809312402,56.34122,30.224134,401.9776,82.823555,8.18E-06,0.00038044,1.86E-05,0.000224777,5.05E-06,0.000591347
SND2018101809312403,56.34698,30.215668,401.9839,82.64837,1.09E-05,0.000449938,2.43E-05,0.000264082,6.85E-06,0.000674899
SND2018101809312404,56.35266,30.207155,403.33945,82.2012,1.49E-05,0.000538439,3.25E-05,0.00031379,9.50E-06,0.000777436
SND2018101809312405,56.35821,30.198685,402.27338,81.98251,2.08E-05,0.000652187,4.41E-05,0.000377211,1.35E-05,0.000904124
SND2018101809312406,56.36369,30.190151,403.13998,81.72142,2.97E-05,0.000801998,6.15E-05,0.000460084,1.96E-05,0.001064051
SND2018101809312407,56.369076,30.18158,402.98694,81.523445,4.38E-05,0.001003371,8.81E-05,0.000570532,2.95E-05,0.00126939
SND2018101809312408,56.374374,30.172964,403.44702,81.239105,6.67E-05,0.00127963,0.000130128,0.000720656,4.59E-05,0.001537419
SND2018101809312431,56.33012,30.252548,402.33514,83.14368,3.43E-06,0.000230239,8.31E-06,0.00013876,2.02E-06,0.000398146
SND2018101809312432,56.33594,30.244158,402.58194,83.200294,4.39E-06,0.000265495,1.04E-05,0.00015911,2.62E-06,0.000445434
SND2018101809312433,56.341705,30.235695,403.90894,82.8147,5.70E-06,0.000308851,1.33E-05,0.000183989,3.46E-06,0.000501797
SND2018101809312434,56.347393,30.227182,402.1579,82.78736,7.50E-06,0.000361779,1.72E-05,0.000214177,4.61E-06,0.000568378
SND2018101809312435,56.352947,30.218714,402.64606,82.700905,9.98E-06,0.00042676,2.24E-05,0.000251002,6.23E-06,0.000647361
SND2018101809312436,56.35843,30.210182,402.31082,82.41441,1.36E-05,0.000509728,2.97E-05,0.000297702,8.60E-06,0.000744594
SND2018101809312437,56.36382,30.201612,401.7577,82.119316,1.90E-05,0.000618628,4.06E-05,0.000358549,1.22E-05,0.000867274
SND2018101809312438,56.36912,30.192997,402.5444,81.7398,2.72E-05,0.000761737,5.66E-05,0.000437878,1.79E-05,0.001021748
SND2018101809312471,56.324837,30.27257,402.49237,83.4945,2.10E-06,0.000173147,5.26E-06,0.000105534,1.21E-06,0.000318095
SND2018101809312472,56.330666,30.264183,400.78998,83.49362,2.56E-06,0.000194289,6.33E-06,0.000117882,1.49E-06,0.00034831
SND2018101809312473,56.336433,30.25572,402.34622,83.30592,3.21E-06,0.000221456,7.81E-06,0.000133673,1.89E-06,0.000386135
SND2018101809312474,56.34212,30.24721,401.4868,83.3892,4.09E-06,0.000254886,9.78E-06,0.000152999,2.44E-06,0.000431354
SND2018101809312475,56.347683,30.238743,402.49316,83.12215,5.28E-06,0.000295434,1.24E-05,0.000176306,3.19E-06,0.000484545
SND2018101809312476,56.35317,30.230211,402.25955,82.9745,6.92E-06,0.000345413,1.59E-05,0.000204862,4.24E-06,0.000548026
SND2018101809312477,56.358562,30.221643,401.88464,82.63463,9.22E-06,0.000407744,2.08E-05,0.00024025,5.73E-06,0.00062453
SND2018101809312478,56.36387,30.21303,402.42255,82.37888,1.25E-05,0.000486784,2.76E-05,0.00028482,7.91E-06,0.000718065
SND2018101809312501,56.319553,30.29259,401.67874,83.56971,1.51E-06,0.000143299,3.88E-06,8.80E-05,8.54E-07,0.000274051
SND2018101809312502,56.325382,30.2842,402.84314,83.47401,1.73E-06,0.000154707,4.39E-06,9.47E-05,9.82E-07,0.000291095
SND2018101809312503,56.331158,30.27574,402.801,83.54961,2.02E-06,0.000169279,5.07E-06,0.000103269,1.16E-06,0.000312485
SND2018101809312504,56.336853,30.26723,402.62955,83.382965,2.43E-06,0.000188711,6.04E-06,0.00011463,1.41E-06,0.00034041
SND2018101809312505,56.342415,30.258762,403.0405,83.47283,3.03E-06,0.000214271,7.40E-06,0.000129504,1.78E-06,0.000376232
SND2018101809312506,56.347904,30.250233,403.90018,83.18617,3.84E-06,0.000245735,9.22E-06,0.000147719,2.28E-06,0.000419108
SND2018101809312507,56.353302,30.241663,403.52182,83.02498,4.93E-06,0.000283701,1.16E-05,0.000169576,2.96E-06,0.000469324
SND2018101809312508,56.358616,30.23305,402.96774,82.846085,6.46E-06,0.000331845,1.49E-05,0.000197127,3.94E-06,0.000530998
SND2018101809312531,56.314266,30.312597,404.04874,83.4567,1.23E-06,0.000127425,3.22E-06,7.86E-05,6.90E-07,0.000249844
SND2018101809312532,56.320103,30.30421,403.2656,83.614395,1.35E-06,0.000134108,3.49E-06,8.26E-05,7.57E-07,0.000260109
SND2018101809312533,56.325882,30.29575,404.5859,83.5113,1.50E-06,0.000142937,3.87E-06,8.78E-05,8.50E-07,0.000273505
SND2018101809312534,56.33158,30.287241,404.5323,83.35623,1.70E-06,0.000153405,4.33E-06,9.39E-05,9.67E-07,0.000289164
SND2018101809312535,56.337147,30.278776,402.51907,83.63238,1.96E-06,0.000166547,4.94E-06,0.000101667,1.12E-06,0.000308504
SND2018101809312536,56.34264,30.270247,403.14648,83.666855,2.34E-06,0.00018433,5.82E-06,0.000112072,1.35E-06,0.000334169
SND2018101809312537,56.348045,30.261679,404.1808,83.41026,2.89E-06,0.000208284,7.08E-06,0.000126027,1.69E-06,0.000367927
SND2018101809312538,56.35336,30.253067,403.25104,83.43878,3.64E-06,0.000238122,8.77E-06,0.000143321,2.15E-06,0.000408847
SND2018101809312571,56.308983,30.332605,404.37518,83.84111,1.15E-06,0.000122324,3.01E-06,7.56E-05,6.40E-07,0.000241931
SND2018101809312572,56.31482,30.32422,404.74704,83.74494,1.19E-06,0.000124854,3.11E-06,7.71E-05,6.65E-07,0.000245864
SND2018101809312573,56.320602,30.31576,403.45013,83.71817,1.26E-06,0.00012913,3.29E-06,7.96E-05,7.07E-07,0.000252474
SND2018101809312574,56.326305,30.307253,403.20184,83.62828,1.37E-06,0.000135185,3.54E-06,8.32E-05,7.68E-07,0.000261752
SND2018101809312575,56.33188,30.29879,403.98575,83.694626,1.50E-06,0.000142912,3.87E-06,8.78E-05,8.50E-07,0.000273469
SND2018101809312576,56.337376,30.290262,404.28052,83.62899,1.69E-06,0.000152749,4.30E-06,9.36E-05,9.59E-07,0.00028819
SND2018101809312577,56.342785,30.281696,402.40622,83.82846,1.93E-06,0.000164969,4.87E-06,0.000100742,1.10E-06,0.0003062
SND2018101809312578,56.348106,30.273085,403.43094,83.7008,2.27E-06,0.000181179,5.66E-06,0.000110232,1.31E-06,0.000329661
SND2018101809312601,56.3037,30.352625,404.77966,83.75965,1.21E-06,0.000125764,3.15E-06,7.76E-05,6.73E-07,0.000247275
SND2018101809312602,56.309547,30.344246,403.83624,83.76277,1.20E-06,0.00012514,3.13E-06,7.73E-05,6.67E-07,0.000246308
SND2018101809312604,56.321045,30.32729,403.71933,83.56155,1.24E-06,0.000127998,3.24E-06,7.90E-05,6.95E-07,0.000250729
SND2018101809312605,56.326622,30.31883,403.4203,83.72662,1.30E-06,0.000131395,3.38E-06,8.10E-05,7.29E-07,0.000255955
SND2018101809312606,56.332127,30.310308,404.66205,83.5591,1.39E-06,0.000136804,3.61E-06,8.42E-05,7.85E-07,0.000264219
SND2018101809312607,56.33754,30.301748,405.1457,83.526146,1.52E-06,0.000143823,3.91E-06,8.83E-05,8.60E-07,0.00027484
SND2018101809312608,56.342865,30.293142,403.00827,83.63357,1.69E-06,0.000152823,4.31E-06,9.36E-05,9.60E-07,0.000288299
SND2018101809312631,56.298435,30.37268,404.80154,83.96914,1.46E-06,0.00014067,3.77E-06,8.64E-05,8.26E-07,0.000270083
SND2018101809312632,56.304283,30.364304,405.76355,83.756905,1.37E-06,0.000135349,3.54E-06,8.33E-05,7.70E-07,0.000262004
SND2018101809312633,56.310097,30.355753,405.0504,83.985214,1.31E-06,0.000131873,3.40E-06,8.12E-05,7.34E-07,0.000256689
SND2018101809312634,56.315792,30.34735,405.49286,83.78441,1.28E-06,0.000130448,3.34E-06,8.04E-05,7.20E-07,0.000254502
SND2018101809312635,56.321373,30.338892,405.17102,83.665276,1.27E-06,0.000129865,3.32E-06,8.01E-05,7.14E-07,0.000253605
SND2018101809312636,56.32688,30.330372,403.75763,83.927475,1.30E-06,0.000131244,3.37E-06,8.09E-05,7.28E-07,0.000255723
SND2018101809312637,56.3323,30.321812,403.8685,83.66024,1.35E-06,0.000134137,3.49E-06,8.26E-05,7.57E-07,0.000260153
SND2018101809312638,56.33763,30.313208,402.46088,83.96625,1.43E-06,0.000138979,3.70E-06,8.54E-05,8.08E-07,0.000267523
SND2018101809312671,56.293167,30.392736,402.9879,84.154045,2.21E-06,0.000178471,5.52E-06,0.000108649,1.27E-06,0.000325774
SND2018101809312673,56.30484,30.37581,404.6171,83.93369,1.66E-06,0.000151277,4.24E-06,9.27E-05,9.43E-07,0.000285999
SND2018101809312674,56.31054,30.36741,403.84406,83.88627,1.53E-06,0.000144461,3.93E-06,8.87E-05,8.67E-07,0.0002758
SND2018101809312675,56.316124,30.358953,405.63074,83.97081,1.44E-06,0.000139581,3.72E-06,8.58E-05,8.14E-07,0.000268435
SND2018101809312676,56.321636,30.350433,406.60638,83.76535,1.39E-06,0.00013641,3.59E-06,8.39E-05,7.81E-07,0.00026362
SND2018101809312701,56.287895,30.412786,403.93845,84.15452,4.27E-06,0.000261336,1.02E-05,0.000156715,2.55E-06,0.000439928
SND2018101809312702,56.293755,30.404411,402.92477,84.131355,3.34E-06,0.00022682,8.11E-06,0.000136781,1.97E-06,0.000393482
SND2018101809312704,56.305275,30.38746,403.09546,84.1348,2.21E-06,0.000178441,5.52E-06,0.000108632,1.27E-06,0.000325732
SND2018101809312705,56.310863,30.379004,401.64996,84.26227,1.91E-06,0.000164194,4.83E-06,0.000100287,1.09E-06,0.000305066
SND2018101809312706,56.31638,30.370483,403.73312,84.031784,1.73E-06,0.000154757,4.39E-06,9.47E-05,9.82E-07,0.00029117
SND2018101809312708,56.32714,30.353323,401.93497,84.115715,1.51E-06,0.000143444,3.89E-06,8.81E-05,8.56E-07,0.00027427
SND2018101809312731,56.282608,30.432823,402.31558,84.15024,9.87E-06,0.000423957,2.21E-05,0.000249418,6.15E-06,0.000644009
SND2018101809312732,56.28847,30.424448,402.7565,84.13744,7.28E-06,0.000355729,1.67E-05,0.000210735,4.47E-06,0.000560878
SND2018101809312734,56.3,30.407501,402.84668,84.193924,4.21E-06,0.000259207,1.00E-05,0.000155489,2.51E-06,0.000437103
SND2018101809312735,56.30559,30.399046,404.0866,84.1974,3.29E-06,0.000224531,7.98E-06,0.000135454,1.93E-06,0.000390351
SND2018101809312736,56.31111,30.390528,404.40128,84.00143,2.64E-06,0.000197817,6.51E-06,0.000119937,1.54E-06,0.000353283
SND2018101809312738,56.321884,30.37337,404.10876,84.093025,1.95E-06,0.000165946,4.91E-06,0.000101315,1.12E-06,0.000307627
SND2018101809312771,56.27732,30.45286,403.09314,83.782776,2.36E-05,0.000701684,4.96E-05,0.000404668,1.54E-05,0.00095775
SND2018101809312772,56.283188,30.444487,404.22424,83.98254,1.81E-05,0.000602647,3.89E-05,0.000349649,1.17E-05,0.000849578
SND2018101809312774,56.294727,30.427542,403.99988,84.00585,9.58E-06,0.000416728,2.15E-05,0.000245332,5.96E-06,0.000635344
SND2018101809312775,56.300323,30.419088,403.4095,84.1594,7.10E-06,0.000350428,1.63E-05,0.000207718,4.35E-06,0.000554283
SND2018101809312776,56.305847,30.41057,405.16275,84.08229,5.35E-06,0.000297516,1.25E-05,0.000177499,3.23E-06,0.000487233
SND2018101809312778,56.316628,30.393415,404.50198,84.066925,3.17E-06,0.000219782,7.71E-06,0.000132701,1.86E-06,0.000383833
SND2018101809312801,56.27203,30.472898,403.8358,83.48629,5.21E-05,0.001110049,0.000103595,0.000628674,3.55E-05,0.001374545
SND2018101809312802,56.277897,30.464525,403.9502,83.57402,4.07E-05,0.000961701,8.23E-05,0.000547755,2.73E-05,0.001227679
SND2018101809312804,56.289444,30.447584,403.88007,83.8301,2.39E-05,0.00070627,5.02E-05,0.000407208,1.56E-05,0.000962677
SND2018101809312805,56.295044,30.439133,404.00156,83.846924,1.74E-05,0.000588553,3.74E-05,0.000341791,1.12E-05,0.000833888
SND2018101809312806,56.30057,30.430616,403.14792,83.93856,1.25E-05,0.000486875,2.76E-05,0.000284871,7.91E-06,0.000718172
SND2018101809312808,56.311356,30.413464,403.7615,84.20304,6.71E-06,0.000339301,1.55E-05,0.00020138,4.10E-06,0.000540374
SND2018101809312831,56.266724,30.492937,403.90933,82.978645,0.000119531,0.001793432,0.000223621,0.000996629,8.49E-05,0.002005704
SND2018101809312832,56.2726,30.484568,404.55728,82.99098,9.23E-05,0.00154471,0.000176001,0.000863493,6.47E-05,0.00178318
SND2018101809312834,56.28415,30.467628,405.02362,83.20374,5.51E-05,0.00114648,0.000109102,0.000648479,3.76E-05,0.001409956
SND2018101809312835,56.289757,30.459177,403.37564,83.69616,4.23E-05,0.000984014,8.54E-05,0.000559956,2.85E-05,0.00125006
SND2018101809312836,56.295288,30.450665,404.12036,83.6556,3.14E-05,0.000828269,6.48E-05,0.000474549,2.08E-05,0.001091412
SND2018101809312838,56.30608,30.433514,401.40646,84.057724,1.62E-05,0.000565516,3.51E-05,0.000328932,1.04E-05,0.00080807
SND2018101809312871,56.26142,30.512978,406.35355,82.179985,0.000290886,0.002999212,0.000510168,0.001633161,0.000216548,0.00300728
SND2018101809312872,56.267296,30.504608,405.67706,82.41369,0.00021845,0.002541539,0.000391175,0.001393031,0.000160199,0.002639558
SND2018101809312874,56.27886,30.487673,405.7246,82.77702,0.000124597,0.001837002,0.000232399,0.001019873,8.87E-05,0.002043988
SND2018101809312875,56.284466,30.479223,406.90097,82.85954,9.58E-05,0.001578027,0.000182129,0.000881373,6.73E-05,0.001813406
SND2018101809312876,56.29,30.47071,405.27805,83.100845,7.33E-05,0.00135193,0.000142121,0.000759721,5.08E-05,0.00160544
SND2018101809312878,56.300804,30.453562,404.2777,83.52955,4.10E-05,0.000966685,8.30E-05,0.000550481,2.76E-05,0.001232687
SND2018101809312901,56.256107,30.533009,405.2162,81.78722,0.000651776,0.004781786,0.001078073,0.002556257,0.000506174,0.00434255
SND2018101809312902,56.26199,30.52464,406.40964,81.98526,0.000531656,0.004250491,0.000892491,0.00228284,0.000408501,0.003957802
SND2018101809312904,56.273556,30.5077,406.02496,82.235565,0.000304347,0.00307869,0.000532025,0.001674706,0.000227106,0.003069877
SND2018101809312905,56.279167,30.49925,406.18823,82.31453,0.0002231,0.002572685,0.000398893,0.001409424,0.000163791,0.002665005
SND2018101809312906,56.284706,30.490736,406.68146,82.62185,0.000166601,0.002172997,0.000304258,0.001198429,0.000120453,0.002333131
SND2018101809312908,56.295517,30.473585,404.76535,82.976,9.55E-05,0.001575058,0.00018158,0.00087978,6.71E-05,0.001810718
SND2018101809312934,56.26825,30.527712,405.77075,81.73608,0.000750028,0.005186178,0.001228003,0.002763558,0.000586781,0.004629312
SND2018101809312935,56.273865,30.519262,407.01367,81.79106,0.000571903,0.004433664,0.000954981,0.002377251,0.00044111,0.004091545
SND2018101809312936,56.279408,30.51075,406.1688,81.85502,0.000416782,0.003692427,0.000712128,0.001994179,0.000316175,0.003542462
SND2018101809312938,56.290222,30.493603,404.94897,82.582726,0.000219558,0.002548985,0.000393015,0.001396951,0.000161054,0.002645648
SND2018101809312971,56.24553,30.572838,403.55856,80.005196,0.00277375,0.011047228,0.004129996,0.00571339,0.002324066,0.008398389
SND2018101809312972,56.2514,30.564505,405.73895,80.47932,0.002389996,0.010135884,0.003597284,0.005259932,0.001986952,0.007847715
SND2018101809312973,56.257183,30.556215,403.86963,80.85524,0.002005824,0.009159232,0.00305771,0.004772178,0.001652314,0.007245745
SND2018101809312974,56.26294,30.547724,402.65057,81.179436,0.001676034,0.008255711,0.002588514,0.004319116,0.001367704,0.006676595
SND2018101809312975,56.26856,30.539276,403.19904,81.38659,0.001370489,0.007348801,0.002147778,0.003862376,0.001106628,0.006091822
SND2018101809312976,56.274105,30.530766,406.09528,81.29249,0.00106561,0.006353797,0.001700773,0.003358682,0.000849169,0.00543224
SND2018101809312978,56.28493,30.51362,405.40955,81.64008,0.000566304,0.004408517,0.000946307,0.002364297,0.000436566,0.004073254
SND2018101809313001,56.240227,30.592829,402.44968,78.59798,0.004513466,0.01463886,0.006486944,0.007487135,0.003879522,0.010483184
SND2018101809313002,56.2461,30.584497,401.36487,78.80788,0.005414672,0.016263723,0.007680004,0.008283647,0.004698784,0.011389388
SND2018101809313003,56.251892,30.57622,404.25534,79.7346,0.005391718,0.016223831,0.007649811,0.008264129,0.004677825,0.011367373
SND2018101809313004,56.257652,30.56773,404.14633,80.12373,0.003943099,0.013538904,0.005723051,0.006945968,0.003365342,0.009857619
SND2018101809313005,56.263283,30.559282,402.32764,80.3224,0.003033076,0.011633121,0.004486909,0.006004125,0.002553287,0.008747297
SND2018101809313006,56.268837,30.550772,403.1018,80.434395,0.002461841,0.010310954,0.003697463,0.005347163,0.002049862,0.007954289
SND2018101809313007,56.274303,30.542221,403.12692,80.83278,0.001957741,0.009031631,0.002989673,0.004708306,0.001610654,0.007166117
SND2018101809313031,56.234955,30.612825,400.4421,77.98095,0.014096665,0.028280253,0.01865238,0.014092506,0.012862302,0.017609682
SND2018101809313032,56.240837,30.604488,403.3578,78.15646,0.009620535,0.02267523,0.013087713,0.01139852,0.008604026,0.014797484
SND2018101809313033,56.246628,30.596218,403.2878,77.658875,0.007689183,0.019919707,0.010631898,0.010064768,0.006796415,0.013361831
SND2018101809313034,56.252396,30.587729,402.73682,78.2158,0.01466521,0.02893423,0.019349039,0.01440537,0.013408835,0.01792966
SND2018101809313035,56.258026,30.579283,403.18414,79.59321,0.014433792,0.028669348,0.019065712,0.014278685,0.013186236,0.017800247
SND2018101809313036,56.263588,30.570774,404.84778,79.64189,0.006622463,0.018271795,0.009256775,0.009263695,0.00580789,0.012483215
